CMA_DGUID,CMA_CODE,CMA_NAME,PROVINCE_NAME,REF_YEAR,IS_LATEST_YEAR,POPULATION,POPULATION_YOY_PCT,POPULATION_INDEX_2019_EQ_100,POPULATION_CHANGE_VS_2019_PCT,UNEMPLOYMENT_RATE_PCT,UNEMPLOYMENT_RATE_CHANGE_VS_2019_PP,PARTICIPATION_RATE_PCT,PARTICIPATION_RATE_CHANGE_VS_2019_PP,EMPLOYMENT_RATE_PCT,EMPLOYMENT_RATE_CHANGE_VS_2019_PP
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2011,FALSE,174337,0.92,86.4,-13.61,9.200,4.0,66.400,-1.8,60.200,-4.4
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2012,FALSE,176701,1.36,87.6,-12.43,8.200,3.0,68.500,0.3,62.900,-1.7
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2013,FALSE,178723,1.14,88.6,-11.43,7.800,2.6,69.600,1.4,64.000,-0.6
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2014,FALSE,180927,1.23,89.7,-10.34,7.800,2.6,66.000,-2.2,60.800,-3.8
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2015,FALSE,183968,1.68,91.2,-8.83,6.400,1.2,67.600,-0.6,63.200,-1.4
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2016,FALSE,189205,2.85,93.8,-6.24,6.600,1.4,66.800,-1.4,62.300,-2.3
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2017,FALSE,193234,2.13,95.8,-4.24,5.600,0.4,66.300,-1.9,62.500,-2.1
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2018,FALSE,197517,2.22,97.9,-2.12,4.500,-0.7,66.700,-1.5,63.700,-0.9
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2019,FALSE,201792,2.16,100.0,0.00,5.200,0.0,68.200,0.0,64.600,0.0
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2020,FALSE,203004,0.60,100.6,0.60,7.800,2.6,64.900,-3.3,59.800,-4.8
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2021,FALSE,204670,0.82,101.4,1.43,6.700,1.5,68.200,0.0,63.600,-1.0
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2022,FALSE,207467,1.37,102.8,2.81,4.800,-0.4,66.800,-1.4,63.600,-1.0
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2023,FALSE,213548,2.93,105.8,5.83,5.300,0.1,64.500,-3.7,61.100,-3.5
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2024,FALSE,220638,3.32,109.3,9.34,5.700,0.5,67.400,-0.8,63.600,-1.0
2021S0503932,932,"Abbotsford-Mission, British Columbia",British Columbia,2025,TRUE,223828,1.45,110.9,10.92,6.700,1.5,66.400,-1.8,61.900,-2.7
2021S0503568,568,"Barrie, Ontario",Ontario,2011,FALSE,192678,0.84,89.9,-10.14,10.000,3.9,72.100,1.4,64.900,-1.5
2021S0503568,568,"Barrie, Ontario",Ontario,2012,FALSE,194593,0.99,90.7,-9.25,8.400,2.3,70.300,-0.4,64.400,-2.0
2021S0503568,568,"Barrie, Ontario",Ontario,2013,FALSE,196574,1.02,91.7,-8.33,7.100,1.0,72.900,2.2,67.700,1.3
