CMA_DGUID,CMA_CODE,CMA_NAME,PROVINCE_NAME,REF_YEAR,POPULATION,POPULATION_CHANGE_SINCE_2019,POPULATION_CHANGE_SINCE_2019_PCT,POPULATION_YOY_PCT,UNEMPLOYMENT_RATE_PCT,UNEMPLOYMENT_RATE_CHANGE_SINCE_2019_PP,PARTICIPATION_RATE_PCT,PARTICIPATION_RATE_CHANGE_SINCE_2019_PP,EMPLOYMENT_RATE_PCT,EMPLOYMENT_RATE_CHANGE_SINCE_2019_PP,MEDIAN_POPULATION_CHANGE_PCT,MEDIAN_UNEMPLOYMENT_RATE_PCT,REGIONAL_QUADRANT
2021S0503305,305,"Moncton, New Brunswick",New Brunswick,2025,196143,41065,26.48,2.97,6.100,0.5,66.300,0.1,62.200,-0.2,12.37000,6.700000,HIGHER_GROWTH_LOWER_UNEMPLOYMENT
2021S0503825,825,"Calgary, Alberta",Alberta,2025,1836012,332717,22.13,2.94,7.400,0.3,70.300,-3.8,65.100,-3.7,12.37000,6.700000,HIGHER_GROWTH_HIGHER_UNEMPLOYMENT
2021S0503541,541,"Kitchener-Cambridge-Waterloo, Ontario",Ontario,2025,701568,118684,20.36,0.31,7.700,2.3,70.300,-1.0,64.900,-2.5,12.37000,6.700000,HIGHER_GROWTH_HIGHER_UNEMPLOYMENT
2021S0503532,532,"Oshawa, Ontario",Ontario,2025,493441,79367,19.17,2.36,8.700,3.3,68.100,1.0,62.200,-1.3,12.37000,6.700000,HIGHER_GROWTH_HIGHER_UNEMPLOYMENT
2021S0503205,205,"Halifax, Nova Scotia",Nova Scotia,2025,544834,82097,17.74,1.58,5.600,-0.2,68.200,0.3,64.400,0.4,12.37000,6.700000,HIGHER_GROWTH_LOWER_UNEMPLOYMENT
2021S0503568,568,"Barrie, Ontario",Ontario,2025,252446,38015,17.73,2.16,7.700,1.6,67.300,-3.4,62.100,-4.3,12.37000,6.700000,HIGHER_GROWTH_HIGHER_UNEMPLOYMENT
2021S0503835,835,"Edmonton, Alberta",Alberta,2025,1692385,253749,17.64,3.09,7.700,0.4,68.700,-3.7,63.400,-3.7,12.37000,6.700000,HIGHER_GROWTH_HIGHER_UNEMPLOYMENT
2021S0503725,725,"Saskatoon, Saskatchewan",Saskatchewan,2025,378475,54956,16.99,2.36,5.200,-0.7,70.400,0.6,66.700,1.1,12.37000,6.700000,HIGHER_GROWTH_LOWER_UNEMPLOYMENT
2021S0503543,543,"Brantford, Ontario",Ontario,2025,176307,25368,16.81,1.69,8.000,3.7,67.200,-2.7,61.800,-5.1,12.37000,6.700000,HIGHER_GROWTH_HIGHER_UNEMPLOYMENT
2021S0503915,915,"Kelowna, British Columbia",British Columbia,2025,254605,34088,15.46,1.18,6.600,2.4,62.100,-5.2,58.000,-6.5,12.37000,6.700000,HIGHER_GROWTH_LOWER_UNEMPLOYMENT
